id,founder_name,email,role,company,location,idea,about,keywords,stage,linked_in,notes
e3ca1c91-ab46-49b1-9af6-4c9ccb3b25f6,Shawn Arroyo,shawn.arroyo@hotmail.com,PM,Dennis Inc,"East Donna, Yemen",Providing patients with cloud hosting that drives reduce costs.,"With expertise in data science, Shawn Arroyo has previously contributed to OpenAI. They are passionate about product design and focus on delivering impactful research.","robotics, fintech, Logistics",none,https://linkedin.com/in/josephbrennan,
e6423791-7619-45ff-a44e-fc34c505ac7d,Daniel Ryan,daniel.ryan@gmail.com,Other,"Vaughn, Marquez and Ross","Samuelhaven, Korea",Helping doctors in healthcare increase access with robotic assistant.,Daniel Ryan has a background in biotechnology with over 4 years of experience. They have worked at Tesla and specialize in data science. Their work has led to reduced errors.,"AI, Legal, robotics",growth,https://linkedin.com/in/wrightcaleb,
53549c7d-80a7-46fb-b737-06355b0a51eb,Julian Chapman,julian.chapman@gmail.com,PM,Jones Ltd,"East Carloston, Tokelau",A platform that connects consumers and consumers through marketing support.,Julian Chapman has a background in finance with over 9 years of experience. They have worked at Microsoft and specialize in data science. Their work has led to scalable systems.,"consumer, AI, healthcare",series A,https://linkedin.com/in/chad34,
912ff435-ff05-420a-b6a1-8fffe9d83a91,Cindy Anderson,cindy.anderson@gmail.com,Founder,"Johnston, Sanchez and Kennedy","Leeville, Palestinian Territory",Simplifying data entry in AI using platform.,"With expertise in AI, Cindy Anderson has previously contributed to Amazon. They are passionate about finance and focus on delivering scalable systems.","BioTech, Edtech, healthcare",growth,https://linkedin.com/in/agomez,
ddeda5a5-d13f-4935-b63f-cfc6cdbdaf3f,Nicholas Nunez,nicholas.nunez@gmail.com,Co-Founder,"Garcia, Powell and Morgan","East Jamesside, Kiribati",Connecting doctors with platform through a healthcare marketplace.,Nicholas Nunez has a background in finance with over 6 years of experience. They have worked at Apple and specialize in AI. Their work has led to impactful research.,"healthcare, AI, b2b",seed,https://linkedin.com/in/robertramirez,
dbbffaaa-c782-44e2-88c9-dd6cc24a6785,Thomas Ramos,thomas.ramos@outlook.com,Co-Founder,"Garcia, Pearson and Fernandez","North Sarabury, Chad",A platform that connects teachers and teachers through legal advice.,Thomas Ramos combines experience in biotechnology with strong skills in UI/UX design. They have built solutions for patients and achieved reduced errors.,"marketplace, healthcare, fintech",seed,https://linkedin.com/in/ntucker,Follow up with Stripe about partnership.
ffd9d1bd-05ee-4395-ac66-f91c83e63566,Stephanie Martin,stephanie.martin@hotmail.com,Investor,Galloway LLC,"Mitchellside, Panama",Personalized platform for teachers to save time.,Stephanie Martin combines experience in finance with strong skills in UI/UX design. They have built solutions for developers and achieved reduced errors.,"AI, b2b, healthcare",series A,https://linkedin.com/in/smoore,
3f6933c5-4d75-4ad5-a2f1-c41849551e55,Anthony Fitzgerald,anthony.fitzgerald@hotmail.com,Engineer,Adkins Inc,"New Thomashaven, Cayman Islands",Connecting teachers with mobile app through a Marketing marketplace.,"With expertise in data science, Anthony Fitzgerald has previously contributed to Stripe. They are passionate about computer science and focus on delivering impactful research.","Edtech, consumer, healthcare",none,https://linkedin.com/in/yuchristopher,"Strong traction in edtech, next milestone is growth stage."
8fe837df-abbc-4e5d-9923-f0a6d5a63c25,Kurt Leonard,kurt.leonard@outlook.com,PM,Powell PLC,"New Brooke, Niger",On-demand cloud hosting for doctors in the edtech space.,Kurt Leonard has a background in engineering with over 11 years of experience. They have worked at Neuralink and specialize in UI/UX design. Their work has led to impactful research.,"BioTech, consumer, Legal",seed,https://linkedin.com/in/barnesbrandy,
1a28ed7f-29bb-42f4-a75c-bc95f84581b3,Taylor Harris,taylor.harris@gmail.com,Other,"Edwards, Baker and Anderson","Stephenland, Algeria",Connecting small businesses with AI system through a edtech marketplace.,Taylor Harris has a background in biotechnology with over 9 years of experience. They have worked at OpenAI and specialize in data science. Their work has led to reduced errors.,"Legal, fintech, b2b",growth,https://linkedin.com/in/khowell,"Strong traction in fintech, next milestone is growth stage."
814b7371-bf4f-4712-8211-ded19de5ae38,Angel Lewis MD,angel.lewis.md@yahoo.com,Investor,Ibarra-Suarez,"Justinmouth, Syrian Arab Republic",Providing developers with legal advice that drives save time.,Angel Lewis MD has a background in finance with over 6 years of experience. They have worked at Neuralink and specialize in robotics. Their work has led to faster product launches.,"robotics, Crypto, Legal",none,https://linkedin.com/in/cheryl80,
7bbbcbd6-b277-40f6-81e1-298f08bf990e,Kristen Huynh,kristen.huynh@yahoo.com,Other,Mcmillan and Sons,"Darrellville, Samoa",Personalized platform for patients to scale faster.,"With expertise in cloud systems, Kristen Huynh has previously contributed to AntlerIndia. They are passionate about biotechnology and focus on delivering faster product launches.","robotics, AI, Crypto",pre-seed,https://linkedin.com/in/josephjacobs,Seeking advisors for patients-focused growth.
55233bfc-85fa-4803-a8c9-ce49b0307a5d,Christina Walters,christina.walters@hotmail.com,PM,Wagner-King,"North Cynthiaview, Aruba",Connecting teachers with robotic assistant through a Marketing marketplace.,Christina Walters has a background in finance with over 6 years of experience. They have worked at Apple and specialize in UI/UX design. Their work has led to scalable systems.,"AI, marketplace, BioTech",pre-seed,https://linkedin.com/in/cookdavid,
454554e1-cf60-402e-84e7-c3af48c922e5,Candice Ramos,candice.ramos@yahoo.com,Other,"Patterson, Smith and Jones","New Barry, Heard Island and McDonald Islands",A healthcare solution that automates fraud detection for patients.,Candice Ramos has a background in product design with over 9 years of experience. They have worked at Google and specialize in AI. Their work has led to impactful research.,"healthcare, consumer, fintech",series A,https://linkedin.com/in/russellwilliams,Considering expansion into robotics markets.
8611598c-4e24-4ed3-98be-5bdc9d60a74c,Timothy Stanton,timothy.stanton@gmail.com,PM,Nolan and Sons,"Lake Curtis, Slovakia (Slovak Republic)",Helping developers in climate scale faster with platform.,Timothy Stanton combines experience in computer science with strong skills in machine learning. They have built solutions for teachers and achieved impactful research.,"Crypto, marketplace, healthcare",seed,https://linkedin.com/in/vdickson,
bb260498-52dd-4dde-b53f-2edc5b33783a,Timothy Hancock,timothy.hancock@yahoo.com,PM,Keith Inc,"Lake Sandra, Slovenia",Helping patients in robotics improve accuracy with robotic assistant.,Timothy Hancock has a background in engineering with over 3 years of experience. They have worked at Stripe and specialize in robotics. Their work has led to faster product launches.,"healthcare, Logistics, robotics",pre-seed,https://linkedin.com/in/vpham,Positive early feedback from teachers using platform.
c86c33a2-271d-4478-97a5-3e789a59f80a,Debra Cobb,debra.cobb@yahoo.com,PM,Reyes Inc,"Walkermouth, Guernsey",Personalized mobile app for small businesses to save time.,Debra Cobb combines experience in computer science with strong skills in cloud systems. They have built solutions for doctors and achieved reduced errors.,"Legal, BioTech, robotics",none,https://linkedin.com/in/lori33,
86bf4458-6d91-45e4-a12f-3fb012d59a50,Corey Murphy,corey.murphy@outlook.com,Other,Rasmussen LLC,"Darlenefurt, Philippines",On-demand marketing support for doctors in the Marketing space.,Corey Murphy has a background in engineering with over 8 years of experience. They have worked at Google and specialize in cloud systems. Their work has led to impactful research.,"b2b, consumer, Crypto",pre-seed,https://linkedin.com/in/sheila14,
7b30b3f1-95bc-488d-952a-49f9d37cef19,Victor Baker,victor.baker@outlook.com,Investor,Carlson LLC,"Samuelhaven, Brazil",Smart robotic assistant that solves financial fraud for patients.,Victor Baker has a background in finance with over 10 years of experience. They have worked at Neuralink and specialize in cloud systems. Their work has led to impactful research.,"healthcare, Crypto, consumer",pre-seed,https://linkedin.com/in/mlam,
f793a67a-71bd-4ccc-a10a-b9c90b97afa8,Michael Smith,michael.smith@outlook.com,Engineer,"Mcdaniel, Bentley and Mclaughlin","West Ryan, Yemen",Helping consumers in robotics improve accuracy with mobile app.,Michael Smith combines experience in product design with strong skills in robotics. They have built solutions for developers and achieved impactful research.,"Logistics, Crypto, BioTech",none,https://linkedin.com/in/cindy14,
1c1e3a09-25a3-44c9-9123-162fadd17ad0,Mary Nguyen,mary.nguyen@yahoo.com,PM,"Phillips, Martinez and Fisher","Byrdburgh, Nicaragua",Personalized AI system for small businesses to increase access.,Mary Nguyen combines experience in engineering with strong skills in data science. They have built solutions for small businesses and achieved impactful research.,"fintech, Logistics, robotics",none,https://linkedin.com/in/richard04,Pilot project with Tesla shows impactful research.
1043011c-391c-4918-9290-f5c940201f75,Jeffrey Carpenter,jeffrey.carpenter@outlook.com,Founder,"Morris, Ramos and Lowe","Leonburgh, Palestinian Territory",A robotics solution that automates data entry for teachers.,Jeffrey Carpenter has a background in finance with over 3 years of experience. They have worked at Google and specialize in AI. Their work has led to scalable systems.,"marketplace, BioTech, Crypto",none,https://linkedin.com/in/campbellelizabeth,Positive early feedback from patients using robotic assistant.
40da7900-9836-4b20-b848-5a9be53157d9,Anna Crane,anna.crane@outlook.com,PM,Chambers and Sons,"East Andrew, Ecuador",Creating AI-powered tools for doctors to improve scale faster.,Anna Crane has a background in engineering with over 7 years of experience. They have worked at Tesla and specialize in robotics. Their work has led to faster product launches.,"b2b, Legal, BioTech",growth,https://linkedin.com/in/xcarr,
b67a2886-cedb-45a2-b6c6-11d48d802951,Jason Soto,jason.soto@hotmail.com,PM,Higgins Group,"Rossberg, Palau",Providing consumers with fundraising that drives scale faster.,Jason Soto combines experience in biotechnology with strong skills in robotics. They have built solutions for teachers and achieved reduced errors.,"Edtech, AI, marketplace",none,https://linkedin.com/in/staffordmichelle,
29d0fba8-583c-447f-89a2-b6a3a9004137,Paula Robinson,paula.robinson@hotmail.com,Engineer,"Holmes, Williams and Wright","South Dennismouth, Papua New Guinea",Building a AI platform that helps small businesses improve accuracy.,Paula Robinson combines experience in engineering with strong skills in machine learning. They have built solutions for developers and achieved reduced errors.,"marketplace, fintech, Logistics",none,https://linkedin.com/in/stephanie79,
f33d80f9-b3ac-41ec-9c71-dbb4d159dc95,Stephanie Simmons,stephanie.simmons@outlook.com,Investor,"Griffin, Moore and Hensley","Greenbury, Tajikistan",Personalized robotic assistant for consumers to improve accuracy.,Stephanie Simmons combines experience in product design with strong skills in AI. They have built solutions for patients and achieved impactful research.,"AI, Legal, healthcare",series A,https://linkedin.com/in/katie87,Positive early feedback from doctors using mobile app.
d79631e5-f33a-41f8-bbbf-56ea417eb03b,Denise Jones,denise.jones@gmail.com,Co-Founder,Young-Rogers,"East Edwardfurt, Puerto Rico",Providing developers with supply chain optimization that drives scale faster.,Denise Jones has a background in product design with over 8 years of experience. They have worked at OpenAI and specialize in UI/UX design. Their work has led to scalable systems.,"AI, marketplace, consumer",series A,https://linkedin.com/in/jasminebrown,
d81474be-96dd-40ef-b202-f05b85637856,Joshua Perry,joshua.perry@outlook.com,Other,Wall Group,"Port Nicoleshire, Hong Kong",A new way for consumers to access delivery in Marketing.,"With expertise in machine learning, Joshua Perry has previously contributed to AntlerIndia. They are passionate about computer science and focus on delivering impactful research.","healthcare, robotics, Edtech",seed,https://linkedin.com/in/wsmith,
21ae9b4f-b6f4-45b9-8147-2e47abcd9e0a,James Snow,james.snow@hotmail.com,Other,Medina-Navarro,"South Jeffrey, Jordan",Providing doctors with supply chain optimization that drives save time.,James Snow combines experience in product design with strong skills in data science. They have built solutions for developers and achieved reduced errors.,"marketplace, fintech, Edtech",none,https://linkedin.com/in/vjohnson,
5d87448c-133f-4737-bc22-04bae746d56b,Rebecca Ramsey,rebecca.ramsey@gmail.com,Co-Founder,Calhoun-Hooper,"South Brittanytown, Belize",Creating AI-powered tools for doctors to improve save time.,"With expertise in AI, Rebecca Ramsey has previously contributed to Amazon. They are passionate about product design and focus on delivering reduced errors.","robotics, Legal, Edtech",pre-seed,https://linkedin.com/in/dtaylor,"Strong traction in Marketing, next milestone is growth stage."
8f7d3623-a09e-48a1-9eb1-e1ee45fb9ed0,David Murphy,david.murphy@outlook.com,Investor,Murphy-Juarez,"Ramirezchester, El Salvador",On-demand marketing support for patients in the climate space.,David Murphy combines experience in engineering with strong skills in UI/UX design. They have built solutions for developers and achieved reduced errors.,"robotics, Legal, b2b",pre-seed,https://linkedin.com/in/ruizkaitlyn,Considering expansion into climate markets.
0caf82d2-966d-434d-86bc-04b40178be47,Trevor Walker,trevor.walker@yahoo.com,PM,Harrington Ltd,"Port Anthonybury, Cook Islands",Building a AI platform that helps consumers increase access.,Trevor Walker combines experience in product design with strong skills in cloud systems. They have built solutions for doctors and achieved reduced errors.,"Crypto, fintech, consumer",growth,https://linkedin.com/in/howelljohn,
ea1c1893-40bc-4232-97a9-b3a6db9104e3,Brian Gould,brian.gould@gmail.com,Engineer,Lyons-Wang,"New Catherine, San Marino",A platform that connects consumers and consumers through training.,Brian Gould has a background in biotechnology with over 7 years of experience. They have worked at Neuralink and specialize in data science. Their work has led to faster product launches.,"AI, BioTech, Logistics",series A,https://linkedin.com/in/stricklandfrank,
f30eb702-49b5-4e19-8b44-10b44de7cddf,Kenneth Hickman,kenneth.hickman@outlook.com,Founder,"Byrd, Rubio and Sanders","North Brittany, Switzerland",Building a robotics platform that helps doctors improve accuracy.,Kenneth Hickman has a background in engineering with over 9 years of experience. They have worked at Microsoft and specialize in robotics. Their work has led to reduced errors.,"Legal, b2b, Logistics",pre-seed,https://linkedin.com/in/curtisbarton,
392c2852-cb69-47c6-bbe7-f24484167c10,Lindsay Martinez,lindsay.martinez@yahoo.com,Co-Founder,"Patton, Reed and Patterson","Caseymouth, American Samoa",Providing small businesses with delivery that drives scale faster.,Lindsay Martinez combines experience in engineering with strong skills in cloud systems. They have built solutions for consumers and achieved scalable systems.,"fintech, BioTech, b2b",seed,https://linkedin.com/in/gshort,
856fa1dd-5ff0-4373-b6ee-dfcaef07f931,Jack Snow,jack.snow@outlook.com,Co-Founder,Zimmerman-Graham,"Christinaside, Singapore",A new way for patients to access training in Marketing.,"With expertise in UI/UX design, Jack Snow has previously contributed to OpenAI. They are passionate about finance and focus on delivering faster product launches.","BioTech, healthcare, Legal",series A,https://linkedin.com/in/umarshall,"Strong traction in edtech, next milestone is growth stage."
5c105193-ec79-4e13-855d-23203c48abf0,Erica Sanchez,erica.sanchez@gmail.com,Other,Ramirez Group,"Port Steven, New Zealand",A platform that connects small businesses and small businesses through legal advice.,"With expertise in robotics, Erica Sanchez has previously contributed to Microsoft. They are passionate about finance and focus on delivering reduced errors.","consumer, Edtech, BioTech",seed,https://linkedin.com/in/frogers,"Strong traction in Marketing, next milestone is growth stage."
df9dae70-3cd9-4a6e-824b-97223a1f82ff,Catherine Lewis,catherine.lewis@gmail.com,Co-Founder,Peterson-Beard,"Angelahaven, Yemen",Smart AI system that solves diagnosis delays for developers.,"With expertise in UI/UX design, Catherine Lewis has previously contributed to Amazon. They are passionate about engineering and focus on delivering scalable systems.","b2b, BioTech, consumer",none,https://linkedin.com/in/christophercortez,
b16bafb9-7a36-46c0-8380-c8ae2e875965,Peter Vaughn DDS,peter.vaughn.dds@hotmail.com,Founder,West-Smith,"Jeffreybury, Gambia",On-demand delivery for small businesses in the edtech space.,Peter Vaughn DDS combines experience in product design with strong skills in machine learning. They have built solutions for small businesses and achieved faster product launches.,"Crypto, AI, BioTech",pre-seed,https://linkedin.com/in/thomas85,Currently prototyping robotic assistant for small businesses.
cfb5fee6-d9cb-4240-9dc1-2c0dd1a6f124,Patrick Rivera,patrick.rivera@gmail.com,PM,"Chavez, Parker and Hall","West David, Mauritania",On-demand supply chain optimization for small businesses in the fintech space.,Patrick Rivera has a background in finance with over 4 years of experience. They have worked at Stripe and specialize in AI. Their work has led to scalable systems.,"b2b, fintech, robotics",none,https://linkedin.com/in/jamesrodgers,Potential collaboration with Tesla on legal advice.
e30b45bd-d969-4de2-a4e7-730f3bfcd05a,Kevin Wolf,kevin.wolf@yahoo.com,Investor,"Campbell, Garcia and Lee","West Harry, American Samoa",A healthcare solution that automates patient care for consumers.,Kevin Wolf combines experience in computer science with strong skills in robotics. They have built solutions for teachers and achieved scalable systems.,"AI, BioTech, healthcare",pre-seed,https://linkedin.com/in/joshuamccann,
bc078cf1-bb6b-408e-ba61-7c8f85371995,Melissa Martinez,melissa.martinez@yahoo.com,Investor,Garcia-Smith,"Taylormouth, Guam",Helping teachers in healthcare improve accuracy with mobile app.,Melissa Martinez has a background in computer science with over 10 years of experience. They have worked at Amazon and specialize in UI/UX design. Their work has led to faster product launches.,"Edtech, robotics, Legal",none,https://linkedin.com/in/tammyking,Seeking advisors for developers-focused growth.
5a758ae0-a60c-42b2-8467-b5793de9d6e3,Ashley Jones,ashley.jones@hotmail.com,Other,Jones-Soto,"East Edwardshire, Yemen",Creating AI-powered tools for developers to improve scale faster.,Ashley Jones has a background in computer science with over 5 years of experience. They have worked at Apple and specialize in AI. Their work has led to scalable systems.,"Legal, Edtech, fintech",series A,https://linkedin.com/in/christopher31,
d1f04eb6-6126-4dbb-8c81-5174425b2067,Jennifer Carlson,jennifer.carlson@hotmail.com,Founder,"Perez, Mills and Hayes","Evansshire, Japan",Smart platform that solves logistics inefficiency for doctors.,"With expertise in cloud systems, Jennifer Carlson has previously contributed to OpenAI. They are passionate about finance and focus on delivering faster product launches.","b2b, consumer, fintech",seed,https://linkedin.com/in/ashley09,Potential collaboration with Tesla on analytics.
e1e569bc-a3b5-4413-8a02-ec41bc33aa9a,Annette Farmer,annette.farmer@yahoo.com,Investor,"Clark, Guerrero and Moore","New Charles, Afghanistan",Building a edtech platform that helps consumers increase access.,Annette Farmer combines experience in product design with strong skills in AI. They have built solutions for small businesses and achieved scalable systems.,"AI, Legal, Edtech",pre-seed,https://linkedin.com/in/mhayes,
d9d5a991-a4c5-49f3-8f80-2e0be898f8db,Andrew Roberts,andrew.roberts@hotmail.com,Co-Founder,Warner-Gibson,"West Kristin, Niue",Creating AI-powered tools for consumers to improve improve accuracy.,Andrew Roberts combines experience in engineering with strong skills in machine learning. They have built solutions for doctors and achieved scalable systems.,"marketplace, fintech, BioTech",seed,https://linkedin.com/in/ronaldstephens,
e614b5fb-0044-4dec-b521-d2601aeaea7a,Susan Serrano,susan.serrano@yahoo.com,Co-Founder,Brown LLC,"Scottmouth, Portugal",On-demand customer support for patients in the climate space.,Susan Serrano has a background in product design with over 9 years of experience. They have worked at Amazon and specialize in UI/UX design. Their work has led to reduced errors.,"fintech, consumer, Legal",growth,https://linkedin.com/in/holly48,
d7c481ac-0e58-42c0-840f-0a44de7253b9,Jessica George,jessica.george@gmail.com,Co-Founder,Navarro-Munoz,"North Jeremyshire, Namibia",Developing mobile app to solve financial fraud in Marketing.,"With expertise in UI/UX design, Jessica George has previously contributed to OpenAI. They are passionate about engineering and focus on delivering reduced errors.","AI, consumer, b2b",none,https://linkedin.com/in/keyemily,
7b19bc63-1eed-40d2-8f5e-616829cc3de9,Andrew Avila,andrew.avila@hotmail.com,Investor,Stone-Ramos,"Howardshire, Jordan",A platform that connects doctors and doctors through fundraising.,"With expertise in UI/UX design, Andrew Avila has previously contributed to Apple. They are passionate about biotechnology and focus on delivering scalable systems.","healthcare, Crypto, b2b",pre-seed,https://linkedin.com/in/ecosta,
b4fa87e1-8d47-43fd-a46b-d920000a682f,Gary Santiago,gary.santiago@yahoo.com,Investor,Rivera Ltd,"Robertsfurt, Suriname",Simplifying data entry in Marketing using mobile app.,Gary Santiago has a background in product design with over 4 years of experience. They have worked at Stripe and specialize in AI. Their work has led to impactful research.,"b2b, BioTech, Logistics",seed,https://linkedin.com/in/gibsonleonard,
917b4417-6aea-4cbb-a049-b33ae8df7a32,Wayne Powell,wayne.powell@gmail.com,Engineer,"Bryan, Smith and Booth","Gutierrezborough, Maldives",Developing AI system to solve diagnosis delays in Marketing.,Wayne Powell has a background in product design with over 12 years of experience. They have worked at OpenAI and specialize in AI. Their work has led to faster product launches.,"fintech, consumer, robotics",seed,https://linkedin.com/in/cindy77,Raised interest from AntlerIndia investors.
6fe7187e-0f8f-4199-9a4a-c132fb57484a,Christina Dunn,christina.dunn@yahoo.com,Co-Founder,Kim-Wolfe,"North Teresabury, Russian Federation",Creating AI-powered tools for small businesses to improve save time.,Christina Dunn combines experience in product design with strong skills in data science. They have built solutions for developers and achieved scalable systems.,"consumer, marketplace, Crypto",none,https://linkedin.com/in/lancesmith,
56fdeb5f-cccc-40f8-9869-f872b0e88c2b,Danny Skinner,danny.skinner@outlook.com,Engineer,Murray Inc,"South Sarah, French Guiana",On-demand supply chain optimization for small businesses in the healthcare space.,Danny Skinner has a background in computer science with over 8 years of experience. They have worked at Apple and specialize in machine learning. Their work has led to faster product launches.,"Legal, Edtech, b2b",series A,https://linkedin.com/in/robert77,
8cdc9ed0-3745-4d54-958e-fb9d2609c962,Juan Reyes,juan.reyes@gmail.com,PM,"Romero, Suarez and Shields","Kendrachester, Guam",Smart AI system that solves logistics inefficiency for developers.,"With expertise in AI, Juan Reyes has previously contributed to Tesla. They are passionate about computer science and focus on delivering reduced errors.","robotics, Crypto, BioTech",growth,https://linkedin.com/in/lori44,
4c6b1d94-9feb-4b1a-86ea-20cf77b9f9c5,Lauren Keller,lauren.keller@yahoo.com,Engineer,Griffin Group,"Martinside, Honduras",Helping patients in robotics scale faster with AI system.,"With expertise in UI/UX design, Lauren Keller has previously contributed to OpenAI. They are passionate about computer science and focus on delivering scalable systems.","BioTech, Legal, marketplace",seed,https://linkedin.com/in/mcantu,
35343513-cdf9-4ddd-a1d1-9c83fbbb85e7,Mrs. Janet Chase,mrs..janet.chase@yahoo.com,Engineer,Williams-Garner,"Hughesberg, Lithuania",Connecting developers with platform through a climate marketplace.,"With expertise in machine learning, Mrs. Janet Chase has previously contributed to AntlerIndia. They are passionate about finance and focus on delivering impactful research.","consumer, healthcare, Logistics",seed,https://linkedin.com/in/martineztammy,
1f2879aa-c268-44ed-a04d-6443d06897d7,Brian Kirk,brian.kirk@yahoo.com,Engineer,Fox Group,"Lake Douglasberg, Belarus",Smart platform that solves education gaps for teachers.,Brian Kirk has a background in engineering with over 11 years of experience. They have worked at AntlerIndia and specialize in machine learning. Their work has led to scalable systems.,"marketplace, Legal, b2b",pre-seed,https://linkedin.com/in/qharrington,
73c5e2e3-fe9f-46b6-bdc7-c67eacac625a,Michael Santos,michael.santos@yahoo.com,Other,Phelps-Villarreal,"Finleyfort, Tunisia",Providing patients with supply chain optimization that drives improve accuracy.,Michael Santos has a background in engineering with over 6 years of experience. They have worked at Apple and specialize in cloud systems. Their work has led to reduced errors.,"BioTech, Legal, Crypto",series A,https://linkedin.com/in/williamsonjimmy,Considering expansion into Marketing markets.
e9c2f4be-ce00-4058-bc1e-5894d06ce380,Donna Perez,donna.perez@gmail.com,Other,Hamilton Inc,"South Garrettport, United Kingdom",Providing small businesses with legal advice that drives increase access.,Donna Perez has a background in finance with over 10 years of experience. They have worked at AntlerIndia and specialize in robotics. Their work has led to impactful research.,"robotics, Crypto, consumer",none,https://linkedin.com/in/williamslaura,
082572c5-88b7-49d6-a96f-84fc5121888b,James Thomas,james.thomas@hotmail.com,Investor,"Jenkins, Maldonado and White","North Chelsea, Hong Kong",Helping patients in AI reduce costs with AI system.,James Thomas has a background in finance with over 5 years of experience. They have worked at Microsoft and specialize in machine learning. Their work has led to scalable systems.,"Logistics, marketplace, Crypto",series A,https://linkedin.com/in/tyleraguilar,
530683b3-8434-4bf8-b614-b3a9f52eeaec,Mark Stevens,mark.stevens@gmail.com,Founder,"Smith, Ballard and Santana","North Scott, Guatemala",Connecting teachers with robotic assistant through a AI marketplace.,"With expertise in cloud systems, Mark Stevens has previously contributed to Neuralink. They are passionate about computer science and focus on delivering impactful research.","AI, Crypto, Legal",growth,https://linkedin.com/in/danielle64,
3daff26f-6412-493f-8250-d3a419fa9795,Eric Kidd,eric.kidd@yahoo.com,Other,Rodriguez-James,"Baileyport, Angola",Developing AI system to solve education gaps in robotics.,Eric Kidd combines experience in computer science with strong skills in machine learning. They have built solutions for patients and achieved faster product launches.,"Crypto, healthcare, b2b",seed,https://linkedin.com/in/khill,
